MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9351,AVL,0,0,SUN,50.9,49.1,4,1,13,7,627,601,432,419,10,15,16,23,7,6,2,5,14,822.94,223.647,233.293,366.0,14,815.918,76.0,370.156,369.762
9352,CAR,0,3,ARS,43.5,56.5,4,6,10,15,600,761,422,561,11,17,18,38,3,3,2,1,14,811.051,182.127,255.754,373.17,14,878.3,166.0,309.464,402.836
9353,EVE,4,0,STK,54,46,12,3,22,4,716,619,479,409,18,30,25,25,9,3,3,4,14,847.815,147.12,302.045,398.65,13,803.656,101.112,333.544,369.0
9355,NOR,1,0,CRY,60,40,3,3,10,13,724,544,511,336,13,18,33,35,5,4,1,2,14,820.95,213.55,229.3,378.1,14,775.636,152.439,259.538,363.659
9356,WHU,3,0,FUL,48.3,51.7,12,0,23,10,598,627,365,411,23,11,41,43,6,3,3,1,14,785.156,128.1,289.956,367.1,14,791.882,155.246,279.763,356.873
9350,WBA,2,2,AVL,51.4,48.6,4,7,11,15,675,609,439,420,10,20,56,33,4,2,6,5,13,819.978,151.055,317.797,351.126,14,805.404,181.424,257.98,366.0
9348,CAR,2,2,MUFC,49.9,50.1,4,5,14,16,598,619,383,391,20,22,25,46,2,8,0,3,14,766.217,132.709,272.086,361.422,13,867.717,168.244,290.188,409.285
9349,MCFC,6,0,TOT,46.9,53.1,10,5,15,13,661,685,451,503,26,23,32,12,4,7,1,5,14,883.354,150.496,359.951,372.907,14,861.998,200.356,260.642,401.0
9347,WHU,0,3,CHE,44.9,55.1,1,8,8,20,617,695,388,490,18,21,41,39,8,4,3,2,14,745.528,73.128,208.544,463.856,14,898.034,155.684,334.35,408.0
9341,ARS,2,0,SOT,49.3,50.7,4,4,9,10,724,699,478,492,21,34,35,26,5,6,11,7,14,878.212,165.4,303.212,409.6,13,816.0,123.4,331.0,361.6
9343,FUL,1,2,SWAN,36.7,63.3,3,5,9,21,575,853,365,643,15,19,39,21,8,8,2,0,14,815.912,147.0,194.272,474.64,14,816.792,234.38,195.332,387.08
9344,HUL,0,1,CRY,62.3,37.7,2,2,15,9,717,566,506,315,18,13,17,69,11,4,2,2,14,833.78,279.132,255.0,299.648,14,734.848,100.088,278.76,356.0
9345,NUFC,2,1,NOR,48.8,51.2,5,2,21,10,677,657,457,476,18,19,38,25,6,5,2,1,14,840.896,151.068,248.64,441.188,14,873.41,142.488,360.922,370.0
9346,STK,2,0,SUN,49.9,50.1,5,3,17,11,626,644,455,459,15,6,19,24,3,7,2,2,13,811.142,76.0,360.733,374.409,14,757.029,75.888,331.664,349.477
9342,EVE,3,3,LIV,50.7,49.3,12,5,18,11,639,613,384,378,24,29,31,39,6,7,1,4,14,831.432,158.672,311.65,361.11,13,870.728,180.126,298.602,392.0
9337,MUFC,1,0,ARS,40.5,59.5,2,2,5,10,606,783,354,539,29,29,49,37,5,6,2,2,14,854.007,171.016,239.851,443.14,14,920.244,190.15,331.094,399.0
9339,SWAN,3,3,STK,65.1,34.9,6,3,17,6,767,493,538,292,18,28,8,35,14,3,3,0,14,871.092,240.75,253.342,377.0,14,843.2,136.0,299.8,407.4
9338,SUN,1,0,MCFC,36.9,63.1,2,4,5,24,567,836,378,635,18,11,37,11,0,14,0,2,14,810.595,75.712,373.883,361.0,14,867.857,171.0,307.013,389.844
9340,TOT,0,1,NUFC,65.3,34.7,14,4,31,8,733,509,472,256,20,29,31,47,11,4,2,8,14,874.258,82.0,370.258,422.0,14,831.759,126.022,246.737,459.0
9335,NOR,3,1,WHU,46.9,53.1,6,4,15,12,594,654,405,457,20,16,34,33,4,2,0,6,13,771.134,145.525,255.609,370.0,14,820.691,162.816,236.047,421.828
9331,AVL,2,0,CAR,43.1,56.9,6,2,17,8,543,695,341,461,22,15,24,37,5,3,5,7,13,789.17,154.714,266.828,367.628,14,812.37,81.301,374.069,357.0
9332,CHE,2,2,WBA,67.8,32.2,7,3,17,11,844,518,630,294,22,22,18,48,9,4,3,0,14,898.567,181.687,323.811,393.069,14,814.067,143.934,312.081,358.052
9333,CRY,0,0,EVE,27.2,72.8,2,2,9,15,423,837,222,622,21,15,29,24,4,7,4,1,14,788.824,74.1,358.724,356.0,13,868.488,137.834,334.654,396.0
9334,LIV,4,0,FUL,67.3,32.7,10,1,32,4,934,567,722,334,25,20,18,27,9,3,4,2,14,868.012,240.052,243.464,384.496,14,740.244,135.0,266.46,338.784
9336,SOT,4,1,HUL,60.5,39.5,7,2,15,10,770,539,561,356,12,22,38,15,6,5,3,6,14,828.995,137.851,301.6,389.544,14,764.857,135.216,278.641,351.0
9329,CAR,1,0,SWAN,45.3,54.7,3,3,9,10,615,706,429,520,18,15,26,19,6,3,3,5,14,780.308,66.481,356.827,357.0,14,854.429,269.754,200.675,384.0
9330,EVE,0,0,TOT,52.2,47.8,1,6,8,16,634,597,408,374,18,17,27,30,7,4,2,0,14,829.676,83.212,346.9,399.564,14,835.023,156.568,280.455,398.0
9321,ARS,2,0,LIV,54.4,45.6,7,4,12,12,837,746,614,510,34,27,17,28,3,5,1,4,14,907.998,230.8,240.372,436.826,13,903.92,212.5,278.5,412.92
9322,FUL,1,3,MUFC,47,53,6,4,15,10,675,743,451,517,25,25,24,40,4,4,2,1,14,789.19,148.172,221.588,419.43,14,890.5,176.0,271.5,443.0
9323,HUL,1,0,SUN,70,30,2,1,25,9,770,435,574,245,11,18,9,42,4,2,3,0,14,808.366,170.424,277.227,360.715,14,801.372,113.0,290.5,397.872
9324,MCFC,7,0,NOR,68.3,31.7,9,1,27,7,953,522,769,352,12,14,16,17,10,3,1,0,14,950.333,171.0,386.333,393.0,13,810.0,74.0,325.5,410.5
9326,STK,1,1,SOT,39.2,60.8,3,2,9,10,548,747,325,508,23,14,23,28,5,5,0,2,13,800.682,130.15,291.532,379.0,12,834.932,173.174,283.758,378.0
9327,WBA,2,0,CRY,49.8,50.2,4,4,9,12,628,660,415,437,17,23,24,37,10,3,2,0,14,779.097,175.072,299.945,304.08,14,762.572,94.46,312.112,356.0
9328,WHU,0,0,AVL,59.4,40.6,4,2,17,8,761,561,536,375,6,24,30,45,5,1,0,1,14,834.164,171.6,248.764,413.8,12,808.367,154.367,214.0,440.0
9325,NUFC,2,0,CHE,39.1,60.9,8,2,15,13,563,741,344,535,10,18,48,32,3,8,3,4,14,846.137,151.866,235.271,459.0,14,921.876,225.943,281.933,414.0
9317,CHE,2,1,MCFC,45.5,54.5,4,6,12,15,623,670,396,480,26,22,31,20,3,6,4,2,14,874.732,171.494,291.238,412.0,14,883.731,87.835,393.322,402.574
9319,SWAN,0,0,WHU,67,33,5,4,10,15,797,481,578,275,17,12,32,33,9,6,2,2,13,834.079,250.229,199.85,384.0,14,762.201,159.576,250.068,352.557
9320,TOT,1,0,HUL,66.2,33.8,6,4,15,10,768,462,542,268,19,27,28,23,6,4,1,1,14,858.585,134.026,307.578,416.981,14,769.377,141.624,209.82,417.933
9318,SUN,2,1,NUFC,48.3,51.7,4,4,8,16,542,591,341,375,16,8,42,34,5,3,4,2,14,808.549,150.0,291.043,367.506,14,821.992,94.652,280.34,447.0
9316,SOT,2,0,FUL,66.2,33.8,6,0,20,1,840,532,634,312,28,16,21,30,10,3,4,3,13,843.044,155.0,310.044,378.0,14,769.712,208.833,163.024,397.855
9311,AVL,0,2,EVE,46.9,53.1,3,4,14,15,596,675,383,447,15,26,17,39,8,6,2,3,13,778.156,236.648,202.496,339.012,14,912.07,181.642,334.428,396.0
9313,LIV,4,1,WBA,54.8,45.2,7,3,18,15,737,608,514,416,21,18,26,18,3,9,1,0,14,861.564,171.813,238.195,451.556,14,769.538,166.475,208.577,394.486
9314,MUFC,3,2,STK,66.7,33.3,5,5,19,10,800,475,565,282,11,18,22,39,12,2,2,0,14,888.48,196.008,307.328,385.144,14,857.081,144.325,301.38,411.376
9315,NOR,0,0,CAR,60.5,39.5,10,4,31,6,746,565,518,338,9,17,16,56,13,2,2,3,14,833.591,89.0,369.591,375.0,14,746.2,178.5,210.7,357.0
9312,CRY,0,2,ARS,37.5,62.5,4,4,13,10,601,880,386,665,25,26,24,21,4,3,2,2,14,762.068,92.856,313.212,356.0,14,1011.939,166.0,374.703,471.236
9310,CRY,1,4,FUL,45.9,54.1,4,6,14,9,581,664,374,453,22,27,11,31,5,7,2,1,14,753.006,71.165,274.327,407.514,14,775.812,208.856,161.656,405.3
9309,AVL,0,2,TOT,37.1,62.9,2,6,15,13,537,746,310,531,17,18,29,22,4,7,2,1,14,825.696,213.348,248.348,364.0,14,837.526,142.552,295.093,399.881
9308,WHU,1,3,MCFC,37.9,62.1,2,9,11,16,544,804,344,604,18,22,19,37,5,5,1,1,14,777.576,144.15,280.746,352.68,14,925.402,163.168,424.408,337.826
9301,ARS,4,1,NOR,56.3,43.7,11,6,20,12,828,695,637,503,21,13,12,28,10,1,1,2,14,838.72,176.241,260.479,402.0,13,829.5,91.65,362.85,375.0
9302,CHE,4,1,CAR,64.9,35.1,7,3,20,13,753,476,554,280,15,14,33,31,6,9,3,1,14,892.665,158.644,332.0,402.021,14,780.752,122.456,301.296,357.0
9303,EVE,2,1,HUL,66.9,33.1,6,1,14,9,848,496,633,304,19,24,28,25,5,7,1,1,14,866.813,166.021,304.792,396.0,14,876.265,202.362,334.792,339.111
9304,MUFC,1,1,SOT,46.4,53.6,5,7,12,18,656,664,393,454,18,27,48,23,4,4,8,2,14,861.77,175.703,283.414,402.653,14,862.548,107.728,302.82,452.0
9306,STK,0,0,WBA,49.7,50.3,3,5,9,12,607,639,401,399,20,14,25,30,6,6,2,2,14,785.561,75.803,328.977,380.781,14,774.216,195.664,218.866,359.686
9307,SWAN,4,0,SUN,63.9,36.1,6,1,14,6,792,511,628,347,10,20,12,16,7,2,2,5,14,823.535,247.187,216.5,359.848,14,824.878,93.064,370.814,361.0
9305,NUFC,2,2,LIV,37.7,62.3,4,7,14,23,536,777,327,555,21,17,38,31,3,13,0,2,14,814.815,80.0,277.012,457.803,13,864.394,183.778,236.0,444.616
9299,TOT,0,3,WHU,60.8,39.2,4,5,14,16,709,530,502,321,19,27,16,25,6,7,3,3,14,830.368,42.72,343.848,443.8,14,804.497,150.0,286.161,368.336
9300,WBA,1,1,ARS,44.1,55.9,4,5,12,14,622,728,410,539,15,22,23,29,6,2,4,2,14,809.146,151.234,263.426,394.486,13,858.104,170.312,294.792,393.0
9297,NOR,1,3,CHE,44.8,55.2,3,8,14,22,581,691,405,506,14,16,23,22,4,6,1,2,13,825.864,72.567,378.297,375.0,14,916.136,242.678,273.319,400.139
9298,SOT,2,0,SWAN,42.6,57.4,4,7,12,17,572,713,367,497,23,14,23,18,7,4,5,1,14,843.503,136.456,355.391,351.656,12,838.976,253.176,206.8,379.0
9296,SUN,1,2,MUFC,37.5,62.5,2,6,6,13,545,831,338,571,22,20,27,52,4,4,1,3,14,809.605,94.808,425.797,289.0,14,897.132,187.232,298.344,411.556
9291,CAR,1,2,NUFC,57.3,42.7,2,10,8,20,707,589,477,360,20,19,22,39,3,3,1,1,14,781.979,124.855,300.124,357.0,13,857.98,139.12,259.072,459.788
9292,FUL,1,0,STK,44.2,55.8,2,3,9,16,624,707,394,500,18,16,35,14,7,5,6,5,14,763.308,154.758,214.647,393.903,14,778.327,80.092,272.659,425.576
9293,HUL,0,0,AVL,45.7,54.3,1,4,6,18,559,677,367,461,14,20,28,48,7,7,1,2,14,802.812,211.201,234.611,357.0,13,802.202,217.996,218.206,366.0
9294,LIV,3,1,CRY,61,39,7,2,13,11,847,612,614,394,20,29,33,32,11,3,5,1,14,851.451,252.43,215.975,383.046,14,797.7,154.7,249.0,394.0
9295,MCFC,3,1,EVE,53.9,46.1,6,4,12,6,671,630,491,417,20,22,14,31,8,1,3,4,14,850.406,160.264,345.248,344.894,14,828.25,238.497,193.753,396.0
9290,EVE,3,2,NUFC,49.9,50.1,8,6,19,15,718,706,512,508,20,21,25,18,1,1,3,4,14,854.837,158.628,298.691,397.518,14,809.217,97.708,324.025,387.484
